Time_Step,Validation,Test
1,0.562342245068944,-0.584854632166105
2,0.649899118878555,-0.497297758356495
3,1.04753508591511,-0.099661791319945
4,0.594045210437268,-0.553151666797782
5,0.850360955132616,-0.296835922102433
6,1.40325966498942,0.256062787754375
7,0.545118513171742,-0.602078364063308
8,0.689851704801466,-0.457345172433584
9,0.782562005384833,-0.364634871850217
10,0.824332219581506,-0.322864657653544
11,0.544036403722437,-0.603160473512613
12,0.959364292599223,-0.187832584635827
13,0.726728723936114,-0.420468153298935
14,0.825673368834906,-0.321523508400144
15,0.82990895683838,-0.31728792039667
16,0.866124579998746,-0.281072297236304
17,1.14164062830887,-0.00555624892618
18,1.11767869389595,-0.029518183339099
19,1.08672048723786,-0.060476389997191
20,1.31627815396561,0.16908127673056
21,-1.96063878212463,-3.10783565935968
22,0.928911571063162,-0.218285306171887
23,0.668776310161071,-0.478420567073978
24,0.860734528801349,-0.2864623484337
25,0.963090870082872,-0.184106007152178
26,1.23353814039991,0.086341263164864
27,1.38788893507549,0.240692057840439
28,1.0480197897761,-0.099177087458947
29,0.807886306042527,-0.339310571192522
30,0.591030386617232,-0.556166490617817
31,0.73998654149259,-0.407210335742459
32,0.849133605648665,-0.298063271586384
33,1.06851259130418,-0.078684285930868
34,0.827629531427925,-0.319567345807125
35,1.1522212355836,0.005024358348554
36,0.988479995881538,-0.158716881353512
37,0.661477464337056,-0.485719412897994
38,0.801147676863686,-0.346049200371364
39,0.767449002851591,-0.379747874383459
40,0.935370233661693,-0.211826643573357
41,0.858446711888252,-0.288750165346798
42,0.812481261523957,-0.334715615711093
43,0.80375427365237,-0.34344260358268
44,0.814497277674505,-0.332699599560545
45,0.987535753854591,-0.159661123380458
46,0.750997314357184,-0.396199562877866
47,-0.589938888597279,-1.73713576583233
48,0.789349787542351,-0.357847089692698
49,2.17397433351559,1.02677745628054
50,1.1301055729305,-0.017091304304554
51,0.761006619049566,-0.386190258185483
52,0.83171946389921,-0.31547741333584
53,0.719574822575873,-0.427622054659177
54,0.663688589666859,-0.483508287568191
55,0.691495618382648,-0.455701258852402
56,0.688210103507826,-0.458986773727224
57,0.896987490561117,-0.250209386673933
58,0.883037444241879,-0.26415943299317
59,0.7581548536873,-0.38904202354775
60,0.70277993640491,-0.44441694083014
61,0.714237369680554,-0.432959507554495
62,0.872509380856143,-0.274687496378906
63,0.816016208115641,-0.331180669119408
64,0.56864770124551,-0.57854917598954
65,0.722375371749715,-0.424821505485334
66,0.903982861905798,-0.243214015329252
67,0.933277027270649,-0.2139198499644
68,0.889037575182215,-0.258159302052834
69,0.785004599511643,-0.362192277723407
70,0.630435880336955,-0.516760996898095
71,0.94916454893565,-0.198032328299399
72,0.701480336578877,-0.445716540656173
73,0.663820748614343,-0.483376128620707
74,0.828188797554589,-0.319008079680461
75,0.723437254660644,-0.423759622574405
76,0.978412360269947,-0.168784516965102
77,0.884211273878908,-0.262985603356142
78,0.665427254774887,-0.481769622460162
79,0.80547650494966,-0.341720372285389
80,0.858782750111931,-0.288414127123119
81,0.715866926079059,-0.431329951155991
82,0.834097201936177,-0.313099675298872
83,0.738202529189454,-0.408994348045596
84,0.791005079085673,-0.356191798149377
85,0.576993601800495,-0.570203275434555
86,0.663568290556625,-0.483628586678424
87,0.807337262391938,-0.339859614843111
88,1.00429631854158,-0.142900558693472
89,0.936604263418551,-0.210592613816499
90,0.851340515862468,-0.295856361372582
91,0.756028755789099,-0.39116812144595
92,0.736094962685372,-0.411101914549678
93,0.682191573370928,-0.465005303864122
94,0.793530228011134,-0.353666649223916
95,0.979634677506271,-0.167562199728778
96,0.825405711488512,-0.321791165746538
97,0.892261938994285,-0.254934938240764
98,0.798215175571631,-0.348981701663418
99,0.808710667621205,-0.338486209613845
100,0.825215876845741,-0.321981000389309
101,0.940049017977165,-0.207147859257884
102,0.838099845167454,-0.309097032067596
103,0.925026997300207,-0.222169879934842
104,0.852358783673401,-0.294838093561648
105,1.002217686074,-0.144979191161054
106,0.855396972028168,-0.291799905206882
107,0.801845287044824,-0.345351590190226
108,0.792834846705558,-0.354362030529491
109,0.751893548441803,-0.395303328793247
110,0.916674683610663,-0.230522193624387
111,1.32519791034464,0.178001033109592
112,1.04661977834734,-0.100577098887713
113,0.797107301789891,-0.350089575445158
114,0.658333005422623,-0.488863871812427
115,0.809391973195233,-0.337804904039817
116,0.781897210894495,-0.365299666340554
117,0.748060871934482,-0.399136005300568
118,0.875497252329803,-0.271699624905247
119,1.07015744359739,-0.077039433637658
120,0.896232807718482,-0.250964069516568
121,0.968960932899834,-0.178235944335216
122,0.688830648868783,-0.458366228366267
123,0.799134856311907,-0.348062020923143
124,0.844969040705358,-0.302227836529691
125,0.73706105473727,-0.410135822497779
126,1.00805899477697,-0.139137882458078
